NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1988-06-09,209.52973122726053,-0.39%
1988-06-10,216.2556355996556,3.21%
1988-06-13,216.2556355996556,0.00%
1988-06-14,219.8887302777298,1.68%
1988-06-15,221.01016280214623,0.51%
1988-06-16,215.30810060185084,-2.58%
1988-06-17,213.37032769643417,-0.90%
1988-06-20,210.74587266576805,-1.23%
1988-06-21,216.2463399423446,2.61%
1988-06-22,223.96633427828633,3.57%
1988-06-23,224.70542318140468,0.33%
1988-06-24,225.31212782399444,0.27%
1988-06-27,217.26848486067786,-3.57%
1988-06-28,228.08845540673963,4.98%
1988-06-29,226.58307160105514,-0.66%
1988-06-30,231.13739134023635,2.01%
1988-07-01,234.5351109929378,1.47%
1988-07-05,241.78224592261955,3.09%
1988-07-06,236.19707604180704,-2.31%
1988-07-07,232.29982428711722,-1.65%
1988-07-08,227.76997771351844,-1.95%
1988-07-11,226.13003387398112,-0.72%
1988-07-12,224.50189763008845,-0.72%
1988-07-13,227.6673743866727,1.41%
1988-07-14,229.71638075615272,0.90%
1988-07-15,229.0961465281111,-0.27%
1988-07-18,230.12707918748757,0.45%
1988-07-19,219.15001751024442,-4.77%
1988-07-20,217.2434123579053,-0.87%
1988-07-21,207.27193973067745,-4.59%
1988-07-22,205.40649227310135,-0.90%
1988-07-25,204.4821630578724,-0.45%
1988-07-26,198.1023195704668,-3.12%
1988-07-27,190.37632910721857,-3.90%
1988-07-28,193.1177482463625,1.44%
1988-07-29,202.67707678455747,4.95%
1988-08-01,203.58912363008798,0.45%
1988-08-02,200.53528677563665,-1.50%
1988-08-03,202.34010435661736,0.90%
1988-08-04,202.7043165444593,0.18%
1988-08-05,198.3867146020623,-2.13%
1988-08-08,198.08913453015924,-0.15%
1988-08-09,189.7099641395335,-4.23%
1988-08-10,174.96949992589174,-7.77%
1988-08-11,180.90096597337947,3.39%
1988-08-12,178.18745148377877,-1.50%
1988-08-15,166.90818580485558,-6.33%
1988-08-16,174.46912662181552,4.53%
1988-08-17,175.25423769161367,0.45%
1988-08-18,177.1995597299906,1.11%
1988-08-19,174.91368540947371,-1.29%
1988-08-22,166.09803566483623,-5.04%
1988-08-23,165.20110627224614,-0.54%
1988-08-24,172.08999240379882,4.17%
1988-08-25,167.80495159294424,-2.49%
1988-08-26,169.1138302153692,0.78%
1988-08-29,174.3901817180887,3.12%
