Nasdaq-composite 2x, 1971-2025
Date, Close-price
1975-06-24,68.843770
1975-06-25,68.955543
1975-06-26,69.195249
1975-06-27,69.275290
1975-06-30,70.108195
1975-07-01,68.996390
1975-07-02,67.893470
1975-07-03,68.781381
1975-07-07,67.823868
1975-07-08,67.491087
1975-07-09,69.245745
1975-07-10,69.774094
1975-07-11,70.368736
1975-07-14,70.982042
1975-07-15,71.662847
1975-07-16,70.669339
1975-07-17,70.248833
1975-07-18,70.071457
1975-07-21,69.668840
1975-07-22,67.982721
1975-07-23,66.237948
1975-07-24,65.486489
1975-07-25,64.645921
1975-07-28,63.857179
1975-07-29,63.211613
1975-07-30,63.762144
1975-07-31,64.007885
1975-08-01,61.591912
1975-08-04,60.626002
1975-08-05,59.413182
1975-08-06,59.516935
1975-08-07,58.552677
1975-08-08,58.493823
1975-08-11,58.346761
1975-08-12,58.567076
1975-08-13,57.816594
1975-08-14,56.880884
1975-08-15,57.069400
1975-08-18,56.270515
1975-08-19,54.280170
1975-08-20,52.679737
1975-08-21,53.209883
1975-08-22,53.981041
1975-08-25,54.531796
1975-08-26,53.637599
1975-08-27,54.144344
1975-08-28,56.251569
